row,name,brand,pattern
21591,PICO TIC Apricot-strawbe Enery DRI Dys,Red Bull,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
21796,M&S -food- Gastro Cotta Milk Celery Gastropub INGR,M&S,-food-
21963,M&S -food- Roasted Garlic Aioli With: Lemon Juice,M&S,-food-
21965,M&S -food- British BEEF THIN CUT Sirloin WITH PEPP,M&S,-food-
21967,M&S -food- Microwave LONG Grain RICE Also Great Pa,M&S,-food-
21981,THAI RED Chicken Curry,M&S,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
22661,CFM WHEY Protein - Dubai Chocolate,Protein&Co,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
22850,FOUR EAS FRE SEAS Waffle Fries 1555 Fantastic 20 M,Four Seasons,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
22954,LESS FAT LESS FAT Ald2201345,Oakhurst,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
23243,WAY TO Cheese & Onion Flour Potato Crispss Briose Ph,Tayto,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
23513,TO USE Straw In A Glass Of Cold Milk Rough The Str,Drink Me Chai,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
23573,MANO MASA FSS Where Source Of BRE A SALT Pepper SE,Manila’S,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
23851,LOW GI Whole Wheat Brown Bread,Albany,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
24137,8690504113249,,"^[0-9]{8,}$"
24213,KOH KAE Peanuts Chicken,โก๋แก่,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
24220,YAN YAN Chocolate Snack,Meiji,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
24248,8901491002486,Kurkure,"^[0-9]{8,}$"
24281,8901725015015,Sunfeast,"^[0-9]{8,}$"
24345,8908010213095,Makino,"^[0-9]{8,}$"
24404,STR MIN Calippo Rspbry/pne 10S,Calippo,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
24761,LEE KUM KEE - Hoisin Sauce,Lee Kum Kee,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
25618,NOMO NO Missing OUT Cookie Dough Plant-powered,Nomo,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
25858,HAM AND Mustard Flavour HAND Cooked Potato Crispss,Real,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
25931,SS OVE Baked PO G Rankfurter Style Sausage Wrapped,,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
26732,4 HOT Cross BUNS,M&S,^[0-9]+ [A-Z]{2}
26813,M&S -food- Tikka Paste,M&S,-food-
26816,Power M&S -food- Plant Kitchen Deliciously Vegan V,Plant Kitchen,-food-
26823,Blond M&S -food- Chocolate Caramelised Pecans Phot,M&S,-food-
26827,M&S -food- MILK Chocolate Covered Speculoos Wafer,M&S,-food-
27047,DIT IGE Family PACK More To Share Haribo Starmix K,Haribo,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
27148,THE REAL Advent Calendar PER MORE About Christmas,Meaningful Chocolate,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
27535,KIVO GOOD TIME Creamer,Good Time,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
27559,JUST THE TIP Waffle Cone Tips,,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
28061,FAT FREE Natural Cottage Cheese,Waitrose,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
28192,THE BA RY Daily 4 Sultana Scones,The Daily Baker,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
28213,OH SO Scrummy Yoghurt Flavoured Flapjack Delicious,Oh So Scrummy,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
28700,ISO WHEY ZERO,Biotechusa,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
29317,CAKE VEG Gobbles Fruity Fun,Britannia,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
29549,PERI PERI Thriller Popcorn,Ultrapop,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
29571,8908002984491,,"^[0-9]{8,}$"
29605,RO RE Energy Drink,Ro Re,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
29679,OREO CKIE CHOC 128gm,Oreo,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
29728,RR DELI CHIP S/SALT&B/VIN 165gm,Red Rock Deli,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
30271,M&S -food- Meal For One Smoked Haddock Smoked HADD,Cook,-food-
31619,RYDO WITH Hazelnuts,Sweet +,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
32015,ALS OF Apple Compote Carefully Remove All Of The B,Brooklea,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
32178,20 HASH Brown Patties,Aldi,^[0-9]+ [A-Z]{2}
32542,UP OU Instant Soup Instant Mushroom Soup With Pea,Fuel,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
32681,SPAR HAND Cooked Crispss SEA Salted Seaso,Spar,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
