row,name,brand,reason
25295,White Pita,Aldi,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
25304,Soft Pretzels,Aldi,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
26805,Patatas Fritas Campesina,Aldi,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
26847,White Bubblemint Chewing Gum Sugar Free Bottle Pie,Mars,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
26848,Cool Breeze Chewing Gum Sugar Free Bottle Pieces,Wrigley'S,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
26856,Ice Tea Peach Zero,Freeway,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
26877,Orange,Freeway,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
26932,Riso Zero Classic,Müller,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
26973,Hartleys Raspberry Jelly Sugar Free 2pk,Hartley'S,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
26974,Strawberry Flavour Jelly Sugar Free Twin Pack,Hartley'S,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
27268,"Banquet Brown N Serve Pancake Sausage Hashbrowns, ",,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
27280,Reese's Sticks,Reese'S,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
27337,Deep'n Delicious Marble Cake,Mccain,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
27380,S Biscuits,Milano,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
27436,Pita Chips,Baked In Brooklyn,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
27539,Pawn Wala,Forolly,US-style ingredient labeling: INS\d{3}
27547,Hubba Bubba Max,Null,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
27623,NAAN Roasted Garlic,Stonefire,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
27743,Extra White Travel Pack,Extra,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
27747,Starburst Chewing Gum Fruity Mixies,Starburst,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
27768,Pepsi Max Cherry,Pepsi,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
27769,Pepsi 1.5ltr Cherry Pepsi Max,Pepsi,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
27772,Pepsi Max Mango,Pepsi,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
27786,Vive Orange Zero Sugar Made With Fruit Juice No Ar,Vive,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
27788,Chocolate Peanut Butter,Southern Grove,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
27814,MUL Shing 7UP Taste. ZERO Sy Up ZERO Sugar,Britvic,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
27870,Diet Tonic Water,Regal,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
27886,Lemonade No Sugar,,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
27891,Waffles Homestyle,Breakfast Best,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
27926,Tropical Fruit & Carrot Fruts,Cido,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
27932,Grapefruit And Lemon Flavour Soft Drink With Sugar,Rasa,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
27935,Pepsi Max,Pepsi,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
27941,Elephant Houee Necto,Elephant House,US-style ingredient labeling: INS\d{3}
27955,Ladys Choice (g),Lady'S Choice,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
27956,Ladys Choice Chicken Spread,Lady'S Choice,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
27976,Crackers Cheese,Ritz,US-style ingredient labeling: INS\d{3}
27982,Prawn Crackers - Truffle Flavour,Meadows,US-style ingredient labeling: INS\d{3}
