row,name,category
31130,"Salmon Avocado Cream Cheese Qbr, Cream C","Meals, Sushis-and-makis"
31131,"Grilled Salmon Avocado Roll Qbr, Avocado","Meals, Sushis-and-makis"
31132,Avocado Mango Tango Roll Wr,"Meals, Sushis-and-makis"
31133,Tuna Avocado Roll Wr,"Meals, Sushis-and-makis"
31134,Salmon Avocado Roll Wr,"Meals, Sushis-and-makis"
31135,Avocado Cucumber Roll Qbr,"Meals, Sushis-and-makis"
31136,Avocado Cucumber Roll Wr,"Meals, Sushis-and-makis"
31137,Salmon Avocado Roll Qbr,"Meals, Sushis-and-makis"
31138,Spicy Salmon Avocado Roll Qbr,"Meals, Sushis-and-makis"
31139,12pc Salmon Avocado Roll Wr,"Meals, Sushis-and-makis"
31140,Avocado Regular Roll Wr,"Meals, Sushis-and-makis"
31141,Grilled Salmon Avocado Roll Wr,"Meals, Sushis-and-makis"
31431,Flour Tortillas,"mexican-dinner-mixes, Tortillas de blé"
31464,Hollandse Groenteschotel,"Kant-en-klaar maaltijden, Diepvriesproducten"
31468,Sardines In Sunflower Oil,sardines-in-oil
31513,Seeded Sourdough Loaf,"Breads, Seeded-soughdough-loaf"
31658,Ristorante Pizza Pollo,"Diepvriesproducten, Kant-en-klaar maaltijden"
31758,Snack Day Salted Chips,"plant-based-foods-and-beverages, plant-based-foods"
31802,Tonijn Pastasalade,"Kant-en-klaar maaltijden, Vismaaltijden"
31829,Crunchy Muesli,"plant-based-foods-and-beverages, plant-based-foods"
31841,Crispsy Golden Popcorn Chicken,meals-with-chicken
31843,Fruity Moroccan Couscous,"meals, savory-semolina-dishes"
31849,Focaccia Paprika En Olijf,"Kant-en-klaar maaltijden, Focaccias"
31927,Riso Rice & Milk Chocolate,"plant-based-foods-and-beverages, plant-based-foods"
32059,12 Mozzarella Sticks,"chips-and-fries, fries"
32147,Woven Whole Wheat Crackers,"plant-based-foods-and-beverages, plant-based-foods"
32376,Flatbreads Salt And Pepper,"plant-based-foods-and-beverages, plant-based-foods"
32426,Gastro Chunky Breaded Haddock Fingers,breaded-hake-fish
32472,Peas And Carrots,canned-peas-and-carrots
32631,Gastro Triple Cooked Chips,"Chips and fries, en:potato-crisps-in-sunflower-oil"
32647,Extra Mature Cheddar,extra-mature-cheddar
32870,Fruit Nut And Seed Mix,"Fruit-and-nut-snacks, Fruit nut and seed snack"
33116,Baked Gigantes Beans,"Baked-gigantes-beans, Baked beans"
