row,name,category,pattern_matched
26733,FAT Greek Style Blueberry & Raspberry Yogurt,"Produits laitiers, Produits fermentés",\bProduits laitiers\b
26743,Swiss Chocolate Neapolitans,"Snacks, Snacks sucrés",\bsucrés\b
26807,Gouda Jeune 48 7 Tranches,"Produits laitiers, Produits fermentés",\bProduits laitiers\b
26835,Yoghurt,,\bfromage\b
26860,Marsh Mallow,"Snacks, Snacks sucrés",\bsucrés\b
27064,Smooth Dark With Raspberries Cocoa,"Snacks, Snacks sucrés",\bsucrés\b
27175,"Konjac Noodles, Spaghetti, Rice And Fettucine",Nouilles,\bNouilles\b
27226,Epicerie / Boissons Et Vins / Sodas Bio,,\bBoissons\b
27283,Reese’s Trio,"Snacks, Snacks sucrés",\bsucrés\b
27342,Yogourt,"Produits laitiers, Produits fermentés",\bProduits laitiers\b
27344,Activia B.L. Regularis,"Produits laitiers, Produits fermentés",\bProduits laitiers\b
27377,Vinaigrette,"Condiments, Matières grasses",\bfromage\b
27401,Moelleux Pépites De Chocolate Sans Sucres,"Snacks, Snacks sucrés",\bsucrés\b
27461,Intense Dark Chocolate Cocoa Solids,"Snacks, Snacks sucrés",\bsucrés\b
27518,High Whey,"Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
27530,Sauce Tomate,"Condiments, Sauces",\bfromage\b
27536,Bcaa Amino-hydrate,"Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
27562,Whey Isolate Chocolate Noisette,"Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
27633,Lördagsgodis,"Snacks, Snacks sucrés",\bsucrés\b
27695,Calissons,"Snacks, Snacks sucrés",\bsucrés\b
27697,Bruges Assortment Biscuits,"snacks, snacks-sucrés",\bsucrés\b
27699,Lutti Mint Menthe Fraîche Original,"Snacks, Snacks sucrés",\bsucrés\b
27713,Pure Whey Isolate,"Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
27750,Pick Up! Milk Chocolate 5 X (140g),"Snacks, Snacks sucrés",\bsucrés\b
27915,Vdohnovenie Chocolate Noir Aux Amandes Cacao,"Snacks, Snacks sucrés",\bsucrés\b
27922,Mochi Strawberry Cheeseecake,,\bfromage\b
28060,Salted Tortilla Chips,"Snacks, Snacks salés",\bsalés\b
28110,Trident Strawberry,"Snacks, Snacks sucrés",\bsucrés\b
28160,Mammouth Pop,"Snacks, Snacks sucrés",\bsucrés\b
28163,Ballymole,"Snacks, Snacks salés",\bsalés\b
28183,The Collective Raspberry Gourmet Live Yogurt,"Produits laitiers, Produits fermentés",\bProduits laitiers\b
28190,Divine Smooth Dark Gin And Tonic Inspired,"Snacks, Snacks sucrés",\bsucrés\b
28218,Cherry Bakewell Flapjack,"Snacks, Snacks sucrés",\bsucrés\b
28242,Reflex Native Whey Choc Perf,"Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
28275,Original Creamy Soft Cheese,"Produits laitiers, Produits fermentés",\bProduits laitiers\b
28277,Light Original Soft Cheese,"Produits laitiers, Produits fermentés",\bProduits laitiers\b
28321,All In One Perform Bar,"Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
28338,Thewhey,"Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
28371,Tesco Soft Cheese Less Fat,"Produits laitiers, Produits fermentés",\bProduits laitiers\b
28390,Salted Caramel Protein Balls,"Protein balls, Compléments alimentaires",\bCompléments alimentaires\b
28396,"PHD Diet Whey,choc Peanut Butter","Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
28425,Battle Bites,"Snacks, Snacks sucrés",\bsucrés\b
28437,Cookie Dough Protein Ball,"Snacks, Snacks sucrés",\bsucrés\b
28446,Berry Crunch Oat Milk White Chocolate,"Snacks, Snacks sucrés",\bsucrés\b
28530,Ciambelle All'albicocca,"Snacks, Snacks sucrés",\bsucrés\b
28589,Purity-light Digest Whey Protein Banana 500gr,"Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
28606,Oatmeal Prozis Chocolate Chips,Compléments alimentaires,\bCompléments alimentaires\b
28608,Whey Prime Vanilla,"Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
28641,Whey 100,"Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
28648,After Dinnerr Sweet Marzipan And Roasted Hazelnuts,"Snacks, Snacks sucrés",\bsucrés\b
28668,Jaffa Cakes Sponge Cakes With Jelly In White Chocolate,"Snacks, Snacks sucrés",\bsucrés\b
28671,Sour Madness Mauro,"Snacks, Snacks sucrés",\bsucrés\b
28683,Whey Isolate,"Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
28686,Nitro Pure Whey Coconut-Chocolate,"Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
28687,Nitro Pure Whey,"Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
28690,Zero Bar,"Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
28693,Pure Whey,"Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
28694,Isolate Whey Protein,"Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
